24:d3:f2:a7:b3:cd,b4:74:9f:ba:83:34,b0:89:00:74:7c:84,9c:d6:43:cb:23:c0,30:99:35:90:32:9f,44:fb:5a:d2:d0:61,d8:0d:17:db:be:92,10:10:81:ad:c4:92,f4:e3:fb:90:3a:a8,indoor,roomNum
-100,-62,-74,-30,-62,-73,-82,-100,-85,1,2
-100,-63,-73,-30,-65,-77,-81,-100,-89,1,2
-86,-65,-73,-30,-63,-71,-79,-80,-86,1,2
-100,-66,-74,-30,-62,-72,-100,-80,-87,1,2
-100,-63,-73,-30,-62,-72,-81,-76,-89,1,2
-100,-66,-71,-30,-62,-71,-79,-87,-83,1,2
-100,-65,-72,-30,-64,-72,-78,-75,-83,1,2
-84,-63,-88,-41,-70,-77,-100,-100,-82,1,2
-100,-64,-89,-41,-61,-74,-100,-100,-82,1,2
-81,-63,-89,-40,-61,-75,-100,-100,-82,1,2
-84,-63,-89,-40,-61,-77,-100,-100,-80,1,2
-84,-63,-89,-41,-61,-76,-100,-100,-82,1,2
-83,-64,-87,-40,-60,-76,-100,-100,-82,1,2
-84,-64,-100,-40,-60,-74,-100,-100,-81,1,2
-78,-63,-90,-41,-61,-77,-100,-100,-82,1,2
-83,-63,-87,-41,-60,-77,-94,-100,-81,1,2
-80,-65,-100,-41,-60,-78,-100,-100,-83,1,2
-84,-65,-91,-41,-60,-73,-100,-100,-81,1,2
-84,-63,-89,-41,-60,-75,-100,-100,-76,1,2
-83,-63,-100,-41,-62,-75,-100,-100,-81,1,2
-81,-64,-100,-40,-61,-77,-97,-100,-81,1,2
-82,-64,-100,-43,-62,-77,-100,-100,-86,1,2
-83,-64,-90,-41,-60,-74,-100,-100,-81,1,2
-84,-65,-88,-41,-62,-74,-94,-100,-82,1,2
-83,-65,-89,-41,-62,-74,-100,-100,-80,1,2
-83,-64,-100,-41,-61,-74,-100,-100,-81,1,2
-83,-64,-88,-41,-62,-75,-94,-100,-81,1,2
-83,-65,-86,-41,-61,-75,-100,-92,-84,1,2
-100,-64,-87,-41,-62,-76,-93,-100,-82,1,2
-83,-63,-89,-41,-62,-75,-100,-100,-82,1,2
-100,-64,-85,-41,-60,-74,-100,-100,-81,1,2
-84,-65,-84,-41,-61,-75,-92,-100,-79,1,2
-100,-64,-89,-41,-60,-76,-100,-87,-82,1,2
-83,-64,-87,-40,-61,-88,-93,-100,-81,1,2
-83,-66,-84,-40,-62,-75,-94,-100,-81,1,2
